,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
0,IPCAS6,UM,raw,0.6135400792821378,2.1507978506944123e-27,0.06738727956707417,0.00020294880946065722
1,IPCAS6,UM,ptr,-0.08741216948779071,1.0,0.08628531984458297,3.037497342000504e-05
2,IPCAS6,UM,zscore,-0.07844560433761909,1.0,0.08293366813157972,4.247634885306308e-05
3,IPCAS6,UM,combat,-0.04435608964436188,1.0,0.0855500896266787,3.269194066758562e-05
4,IPCAS6,MPG1,raw,0.9748156479151635,1.0676766707558638e-12,-0.005079626082484238,0.3893602265561845
5,IPCAS6,MPG1,ptr,,,,
6,IPCAS6,MPG1,zscore,,,,
7,IPCAS6,MPG1,combat,-0.07657870500768162,1.0,0.3063616978005667,4.5559978451999234e-05
8,IPCAS6,IPCAS8,raw,0.5147500376434626,4.726106987286323e-08,0.28471849806540134,3.849402081370717e-05
9,IPCAS6,IPCAS8,ptr,-0.1973573764026223,1.0,0.3454724368469855,6.46126306226018e-06
10,IPCAS6,IPCAS8,zscore,-0.18485810889817955,1.0,0.3340131803497968,9.03770079242071e-06
11,IPCAS6,IPCAS8,combat,-0.060225345993547244,1.0,0.3526362172363376,5.2396435088735625e-06
12,IPCAS6,NYU1,raw,0.46910698672715173,1.3492542630719198e-12,0.12703688933747345,0.0001526793528706569
13,IPCAS6,NYU1,ptr,-0.12809564981264812,1.0,0.14801746278164277,4.758848713219393e-05
14,IPCAS6,NYU1,zscore,-0.11176140807444063,1.0,0.13094792280970444,0.00012277800445073328
15,IPCAS6,NYU1,combat,-0.04575990361411224,1.0,0.1412219817889252,6.935706174240262e-05
16,IPCAS6,SWU2,raw,0.5228978596526223,2.048925782757411e-11,0.200619875818761,2.38759459574768e-05
17,IPCAS6,SWU2,ptr,-0.14983248187930673,1.0,0.23802820806136954,4.606351252283658e-06
18,IPCAS6,SWU2,zscore,-0.1351974783183625,1.0,0.227474084155951,7.319666398933275e-06
19,IPCAS6,SWU2,combat,-0.053097086620387285,1.0,0.24747250876858237,3.0454774688523857e-06
20,IPCAS6,BNU2,raw,0.36863908043644217,2.66199769081228e-12,0.11804060429210184,5.2787507126806316e-05
21,IPCAS6,BNU2,ptr,-0.09298550715837554,1.0,0.1295562471845076,2.3998687907956923e-05
22,IPCAS6,BNU2,zscore,-0.08447652332392054,1.0,0.12326106179560342,3.691152069368287e-05
23,IPCAS6,BNU2,combat,-0.03555231515032614,1.0,0.13316390993859592,1.8759032400902146e-05
24,IPCAS6,BNU1,raw,0.38560480599385205,8.650756271871275e-13,0.08338204948018915,0.0005798221161966955
25,IPCAS6,BNU1,ptr,-0.10635635408605376,1.0,0.0989252586891418,0.00019691618477516104
26,IPCAS6,BNU1,zscore,-0.09278803516359276,1.0,0.08994378798293291,0.00036708732491410164
27,IPCAS6,BNU1,combat,-0.038125967636142795,1.0,0.09414227017448927,0.00027425800625742144
