,Sxfm,Dxfm,Dataset1,Dataset2,Average
0,raw,raw,BMB_1,BMB_1,0.35648447339455785
1,raw,raw,BMB_1,BNU1,0.3623948270850641
2,raw,raw,BMB_1,BNU2,0.3539539490499056
3,raw,raw,BMB_1,BNU3,0.35690357712739645
4,raw,raw,BMB_1,HNU1,0.34417873337803695
5,raw,raw,BMB_1,IACAS_1,0.3332998476291544
6,raw,raw,BMB_1,IBATRT,0.3791975247365491
7,raw,raw,BMB_1,IPCAS_1,0.3408639591592533
8,raw,raw,BMB_1,IPCAS_2,0.339324344114199
9,raw,raw,BMB_1,IPCAS_3,0.35094430493918793
10,raw,raw,BMB_1,IPCAS_4,0.3586049894846938
11,raw,raw,BMB_1,IPCAS_5,0.35819480458635083
12,raw,raw,BMB_1,IPCAS_6,0.32872015342857147
13,raw,raw,BMB_1,IPCAS_7,0.3308169596624804
14,raw,raw,BMB_1,IPCAS_8,0.3747114408946044
15,raw,raw,BMB_1,JHNU,0.3486306199092971
16,raw,raw,BMB_1,MRN_1,0.3482552019446624
17,raw,raw,BMB_1,NYU_1,0.3597417601339614
18,raw,raw,BMB_1,NYU_2,0.3547788641420274
19,raw,raw,BMB_1,SWU1,0.3608154865733073
20,raw,raw,BMB_1,SWU2,0.3469323921510672
21,raw,raw,BMB_1,SWU3,0.34911042323580027
22,raw,raw,BMB_1,SWU4,0.34353176378295824
23,raw,raw,BMB_1,UPSM_1,0.3627225954204083
24,raw,raw,BMB_1,UWM,0.36160361950392467
25,raw,raw,BMB_1,Utah1,0.3618756624717705
26,raw,raw,BMB_1,XHCUMS,0.3628166709013125
27,raw,raw,BNU1,BMB_1,0.3623948270850641
28,raw,raw,BNU1,BNU1,0.3690857935271468
29,raw,raw,BNU1,BNU2,0.359758915983965
30,raw,raw,BNU1,BNU3,0.36227000667265324
31,raw,raw,BNU1,HNU1,0.3470443973529709
32,raw,raw,BNU1,IACAS_1,0.33958031454430215
33,raw,raw,BNU1,IBATRT,0.3872253046047157
34,raw,raw,BNU1,IPCAS_1,0.34594147158998123
