,Dataset,Subject,Retest,Ix,Fullname,Sxfm,Dxfm,Clustering,Degree,Homophilic,Homotopic
0,UPSM1,0025247,2,0,UPSM1_0025247_2,raw,raw,(0.1668258881769746+0j),11.521251734085714,0.984609704673637,0.9890993206819646
1,UPSM1,0025247,2,0,UPSM1_0025247_2,raw,zscore,(0.13556545074315324+0.07081494319550316j),-6.760356663525699,0.8292586057446516,0.9840937687182372
2,UPSM1,0025247,2,0,UPSM1_0025247_2,raw,ptr,(0.4171969315886616+0j),33.29642928808266,0.99821794242119,0.9666445461713354
3,UPSM1,0025247,2,0,UPSM1_0025247_2,raw,combat,(0.18897940512600925+0.00131001717705212j),13.061993897911966,0.9761766900049427,0.99387784517423
4,UPSM1,0025247,2,0,UPSM1_0025247_2,ptr,raw,(0.425293067834515+0j),34.510715394968415,0.984609704673637,0.9890993206819646
5,UPSM1,0025247,2,0,UPSM1_0025247_2,ptr,zscore,(0.23553997697581294+0.12317432871147524j),0.18706695535584378,0.9399695843367408,0.9854950458163071
6,UPSM1,0025247,2,0,UPSM1_0025247_2,ptr,ptr,(0.429247986037048+0j),34.62031033051519,0.997326023514203,0.9635622735352192
7,UPSM1,0025247,2,0,UPSM1_0025247_2,ptr,combat,(0.41790584503749184+0.003582987651899452j),34.76040250443396,0.9789195132179908,0.992249031484582
8,UPSM1,0025234,1,1,UPSM1_0025234_1,raw,raw,(0.16319746044585298+0j),12.214570842304857,0.4005495375867892,0.5925330588804357
9,UPSM1,0025234,1,1,UPSM1_0025234_1,raw,zscore,(0.11694793293787402+0.06027742425686845j),0.0805297501502088,0.015219874240902594,0.5216662438799242
10,UPSM1,0025234,1,1,UPSM1_0025234_1,raw,ptr,(0.43600965220247867+0j),34.8879006949497,0.39122626085921347,0.3741861570881916
11,UPSM1,0025234,1,1,UPSM1_0025234_1,raw,combat,(0.17896763547283184+0.0012066098029499923j),13.819892698996515,0.3057763864940747,0.644265491455057
12,UPSM1,0025234,1,1,UPSM1_0025234_1,ptr,raw,(0.42751837952864813+0j),34.510715394968415,0.4005495375867892,0.5925330588804357
13,UPSM1,0025234,1,1,UPSM1_0025234_1,ptr,zscore,(0.2120512254717173+0.10881584714641682j),-0.6537256871510351,0.0545642947758652,0.488747155514879
14,UPSM1,0025234,1,1,UPSM1_0025234_1,ptr,ptr,(0.4266903832503363+0j),34.46599072581133,0.40754251971213556,0.3681399412934003
15,UPSM1,0025234,1,1,UPSM1_0025234_1,ptr,combat,(0.4112515261235748+0.003437314279074357j),34.77643761761499,0.3396797609205232,0.6436311932502667
16,UPSM1,0025247,1,2,UPSM1_0025247_1,raw,raw,(0.16932224124286543+0j),11.575366949734287,0.7424747488373968,0.6549864167530992
17,UPSM1,0025247,1,2,UPSM1_0025247_1,raw,zscore,(0.10319601068094447+0.05396154483775847j),-5.707601776384266,0.15589178751619276,0.551544220752565
18,UPSM1,0025247,1,2,UPSM1_0025247_1,raw,ptr,(0.39830864681653394+0j),32.44054200889744,0.8642863656576163,0.45900963577170883
19,UPSM1,0025247,1,2,UPSM1_0025247_1,raw,combat,(0.17662443484930576+0.0020099148612908574j),13.259546659247974,0.7413388770442182,0.7120846156317704
20,UPSM1,0025247,1,2,UPSM1_0025247_1,ptr,raw,(0.4295079451556038+0j),34.51071539496843,0.7424747488373968,0.6549864167530992
21,UPSM1,0025247,1,2,UPSM1_0025247_1,ptr,zscore,(0.21225162765301941+0.10582552821735533j),-0.635114857565306,0.22818170895126721,0.5000848743361725
22,UPSM1,0025247,1,2,UPSM1_0025247_1,ptr,ptr,(0.4249344025827305+0j),34.1776722841655,0.8908113983549153,0.4108719798252394
23,UPSM1,0025247,1,2,UPSM1_0025247_1,ptr,combat,(0.36937182445548844+0.004578059040303891j),34.70030822480546,0.7139339170229542,0.6799567314384882
24,UPSM1,0025234,2,3,UPSM1_0025234_2,raw,raw,(0.18291810643268716+0j),13.356636675914286,0.41101219510855536,0.9571508476556443
25,UPSM1,0025234,2,3,UPSM1_0025234_2,raw,zscore,(0.15216499435462658+0.06956236888541067j),9.23547801379331,0.022091009137685,0.9551444743764139
26,UPSM1,0025234,2,3,UPSM1_0025234_2,raw,ptr,(0.4717394181393541+0j),37.31617713504902,0.3741195595860094,0.937094438707536
27,UPSM1,0025234,2,3,UPSM1_0025234_2,raw,combat,(0.20560229076786946+0.0006844382866116911j),14.913844287763297,0.363927419584574,0.9766671929376021
28,UPSM1,0025234,2,3,UPSM1_0025234_2,ptr,raw,(0.4280968897219171+0j),34.510715394968436,0.41101219510855536,0.9571508476556443
29,UPSM1,0025234,2,3,UPSM1_0025234_2,ptr,zscore,(0.23676537010330476+0.11132041616382295j),0.312467052369337,0.03462586905595508,0.9555133372731899
30,UPSM1,0025234,2,3,UPSM1_0025234_2,ptr,ptr,(0.43380231675959685+0j),34.47019470362293,0.36401714228629967,0.9244534339708574
31,UPSM1,0025234,2,3,UPSM1_0025234_2,ptr,combat,(0.3968022468757397+0.0009583597817297931j),34.735404720998076,0.3683197823127826,0.9709446811290499
32,UPSM1,0025248,1,4,UPSM1_0025248_1,raw,raw,(0.16382144841425503+0j),12.313581816579998,0.38857767095790424,0.08514872032284004
33,UPSM1,0025248,1,4,UPSM1_0025248_1,raw,zscore,(0.14815834604495567+0.07298584493431567j),-0.6717840464055483,0.003222316114563869,0.016182795443989106
34,UPSM1,0025248,1,4,UPSM1_0025248_1,raw,ptr,(0.4367197945299493+0j),34.854751689597315,0.24193185552226548,0.008559681336106097
35,UPSM1,0025248,1,4,UPSM1_0025248_1,raw,combat,(0.18442861479148526+0.0014692922842016723j),13.861494301594796,0.31956382948197015,0.10925635701326025
36,UPSM1,0025248,1,4,UPSM1_0025248_1,ptr,raw,(0.4268687454004091+0j),34.51071539496843,0.38857767095790424,0.08514872032284004
37,UPSM1,0025248,1,4,UPSM1_0025248_1,ptr,zscore,(0.2206085248208316+0.11034077663592876j),-0.13626223614575284,0.017570956997518726,0.023150211849513054
38,UPSM1,0025248,1,4,UPSM1_0025248_1,ptr,ptr,(0.4325044957062027+0j),34.490656700789266,0.20340483021753913,0.007626136485443376
39,UPSM1,0025248,1,4,UPSM1_0025248_1,ptr,combat,(0.4237374124144364+0.003980174943728074j),34.728049084821116,0.36048982289202014,0.10501747349189833
40,UPSM1,0025235,1,5,UPSM1_0025235_1,raw,raw,(0.18366822163806185+0j),12.313330761597145,0.891705864252655,0.8069919363634983
41,UPSM1,0025235,1,5,UPSM1_0025235_1,raw,zscore,(0.14346088071604177+0.07130938181614953j),0.25266891525288093,0.4193432980136703,0.8227571677072458
42,UPSM1,0025235,1,5,UPSM1_0025235_1,raw,ptr,(0.43932081839079273+0j),35.029452298821546,0.9420282472357295,0.7374172429074966
43,UPSM1,0025235,1,5,UPSM1_0025235_1,raw,combat,(0.19029768910663586+0.002049375384420839j),13.984196194058015,0.8407363591769377,0.8268398826308969
44,UPSM1,0025235,1,5,UPSM1_0025235_1,ptr,raw,(0.4288274227789104+0j),34.51071539496842,0.891705864252655,0.8069919363634983
45,UPSM1,0025235,1,5,UPSM1_0025235_1,ptr,zscore,(0.22243191086932979+0.10947012810230498j),-0.18679318429639957,0.552306683097409,0.789957541529483
46,UPSM1,0025235,1,5,UPSM1_0025235_1,ptr,ptr,(0.4303262557923374+0j),34.41129852246171,0.9200483880674801,0.7191286653733024
47,UPSM1,0025235,1,5,UPSM1_0025235_1,ptr,combat,(0.4029502010981802+0.0051877984912203695j),34.69572412782135,0.8708171865181273,0.813908905276955
48,UPSM1,0025248,2,6,UPSM1_0025248_2,raw,raw,(0.156969780508183+0j),10.520461925211428,0.5135216932942767,0.03251280584968233
49,UPSM1,0025248,2,6,UPSM1_0025248_2,raw,zscore,(0.13282574526718813+0.07812482214735869j),-15.311514317202763,0.010236240534518284,0.0014811303209027072
50,UPSM1,0025248,2,6,UPSM1_0025248_2,raw,ptr,(0.3852188406045222+0j),30.666635725410913,0.5373200057575827,0.0008422931724849241
51,UPSM1,0025248,2,6,UPSM1_0025248_2,raw,combat,(0.17898371124759396+0.000824763806803863j),11.915369570178157,0.4135752776695224,0.03610719700926079
52,UPSM1,0025248,2,6,UPSM1_0025248_2,ptr,raw,(0.4260484852499345+0j),34.51071539496842,0.5135216932942767,0.03251280584968233
53,UPSM1,0025248,2,6,UPSM1_0025248_2,ptr,zscore,(0.212223158410884+0.11156146915831146j),0.18449466929804798,0.03517703865361383,0.0025025549973272097
54,UPSM1,0025248,2,6,UPSM1_0025248_2,ptr,ptr,(0.42727998373565956+0j),34.41959011221942,0.4457684054037128,0.0013189716640681715
55,UPSM1,0025248,2,6,UPSM1_0025248_2,ptr,combat,(0.3978234077717396+0.0016195525346038235j),34.769762269000914,0.4051618415260795,0.039873929103427214
56,UPSM1,0025235,2,7,UPSM1_0025235_2,raw,raw,(0.15661784537303697+0j),10.894426613085715,0.9989493927394515,0.018240300145337084
57,UPSM1,0025235,2,7,UPSM1_0025235_2,raw,zscore,(0.15487147176844898+0.08328948993196901j),-10.860324626015545,0.9296032328482318,0.0025667489518181093
58,UPSM1,0025235,2,7,UPSM1_0025235_2,raw,ptr,(0.38842168039814323+0j),31.682718535131745,0.999906902006611,0.0007359417089932007
59,UPSM1,0025235,2,7,UPSM1_0025235_2,raw,combat,(0.17005104401591842+0.002149633216413486j),12.53767052291335,0.9967904335451041,0.02762512323606665
60,UPSM1,0025235,2,7,UPSM1_0025235_2,ptr,raw,(0.4257756378470645+0j),34.51071539496843,0.9989493927394515,0.018240300145337084
61,UPSM1,0025235,2,7,UPSM1_0025235_2,ptr,zscore,(0.2264149315014628+0.11544051492063269j),-0.37471627042321953,0.9644119974246037,0.0018367972576010117
62,UPSM1,0025235,2,7,UPSM1_0025235_2,ptr,ptr,(0.4218171759252523+0j),34.380490986228544,0.9997782199238966,0.000609402573052782
63,UPSM1,0025235,2,7,UPSM1_0025235_2,ptr,combat,(0.38937085212699757+0.005146050237502571j),34.729241704674415,0.9976671844640391,0.025552182206631427
64,UPSM1,0025249,1,8,UPSM1_0025249_1,raw,raw,(0.1700015268679597+0j),11.328148155462857,0.8705450842685429,0.49954167865343074
65,UPSM1,0025249,1,8,UPSM1_0025249_1,raw,zscore,(0.12960727467754643+0.06945507362898044j),-7.62429839436154,0.3952976803282672,0.2895721340003291
66,UPSM1,0025249,1,8,UPSM1_0025249_1,raw,ptr,(0.4044040777255812+0j),32.69633673732648,0.9456009585527879,0.17348346464913367
67,UPSM1,0025249,1,8,UPSM1_0025249_1,raw,combat,(0.18609842775740412+0.0023930808035517873j),12.93985430561466,0.853196763947561,0.47748634570758397
68,UPSM1,0025249,1,8,UPSM1_0025249_1,ptr,raw,(0.4258028079213552+0j),34.51071539496842,0.8705450842685429,0.49954167865343074
69,UPSM1,0025249,1,8,UPSM1_0025249_1,ptr,zscore,(0.2210361788251119+0.11440216178323995j),-0.5162196905438253,0.5975212465611931,0.2969510068920669
70,UPSM1,0025249,1,8,UPSM1_0025249_1,ptr,ptr,(0.42742185747720357+0j),34.54923795764001,0.9477528742389265,0.21311946843129848
71,UPSM1,0025249,1,8,UPSM1_0025249_1,ptr,combat,(0.3829040600026686+0.005471373818519284j),34.71800243136042,0.8605783102232645,0.4861004163240593
72,UPSM1,0025236,1,9,UPSM1_0025236_1,raw,raw,(0.1687627031082736+0j),11.493715685885714,0.9377924509771763,0.9031155067829537
73,UPSM1,0025236,1,9,UPSM1_0025236_1,raw,zscore,(0.12211920525868798+0.06445897238364545j),-5.239675845099457,0.7160461171167563,0.8041345419760857
