,Sxfm,Dxfm,Column,Row,Value
0,raw,raw,1,1,0.0
1,raw,raw,2,1,0.524848
2,raw,raw,3,1,0.5795
3,raw,raw,4,1,0.381118
4,raw,raw,5,1,0.445685
5,raw,raw,6,1,0.419384
6,raw,raw,7,1,0.658296
7,raw,raw,8,1,0.616606
8,raw,raw,9,1,0.512816
9,raw,raw,10,1,0.618475
10,raw,raw,11,1,0.733692
11,raw,raw,12,1,0.44901
12,raw,raw,13,1,0.674708
13,raw,raw,14,1,0.513455
14,raw,raw,15,1,0.822476
15,raw,raw,16,1,0.62324
16,raw,raw,17,1,0.623368
17,raw,raw,18,1,0.543928
18,raw,raw,19,1,0.358827
19,raw,raw,20,1,0.556902
20,raw,raw,21,1,0.560652
21,raw,raw,22,1,0.411586
22,raw,raw,23,1,0.563216
23,raw,raw,24,1,0.649551
24,raw,raw,25,1,0.594431
25,raw,raw,26,1,0.698228
26,raw,raw,27,1,0.741341
27,raw,raw,28,1,0.515657
28,raw,raw,29,1,0.704068
29,raw,raw,30,1,0.567534
30,raw,raw,31,1,0.676563
31,raw,raw,32,1,0.554333
32,raw,raw,33,1,0.211398
33,raw,raw,34,1,0.647841
34,raw,raw,35,1,0.680633
35,raw,raw,36,1,0.880884
36,raw,raw,37,1,0.548204
37,raw,raw,38,1,0.546009
38,raw,raw,39,1,0.44124
39,raw,raw,40,1,0.521908
40,raw,raw,41,1,0.589263
41,raw,raw,42,1,0.362533
42,raw,raw,43,1,0.681399
43,raw,raw,44,1,0.540636
44,raw,raw,45,1,0.518271
45,raw,raw,46,1,0.728735
46,raw,raw,47,1,0.556976
47,raw,raw,48,1,0.682404
48,raw,raw,49,1,0.518579
49,raw,raw,50,1,0.726035
50,raw,raw,51,1,0.620357
51,raw,raw,52,1,0.738167
52,raw,raw,53,1,0.489199
53,raw,raw,54,1,0.45503
54,raw,raw,55,1,0.582836
55,raw,raw,56,1,0.529947
56,raw,raw,57,1,0.416636
57,raw,raw,58,1,0.477646
58,raw,raw,59,1,0.666484
59,raw,raw,60,1,0.521136
60,raw,raw,61,1,0.651719
61,raw,raw,62,1,0.608069
62,raw,raw,63,1,0.507316
63,raw,raw,64,1,0.598753
64,raw,raw,65,1,0.603661
65,raw,raw,66,1,0.736301
66,raw,raw,67,1,0.592774
67,raw,raw,68,1,0.326606
68,raw,raw,69,1,0.5325
69,raw,raw,70,1,0.551115
70,raw,raw,1,2,0.524848
71,raw,raw,2,2,0.0
72,raw,raw,3,2,0.386444
73,raw,raw,4,2,0.570773
74,raw,raw,5,2,0.239565
75,raw,raw,6,2,0.332227
76,raw,raw,7,2,0.479824
77,raw,raw,8,2,0.584577
78,raw,raw,9,2,0.631164
79,raw,raw,10,2,0.687165
80,raw,raw,11,2,0.591263
81,raw,raw,12,2,0.4832
82,raw,raw,13,2,0.567184
83,raw,raw,14,2,0.467179
84,raw,raw,15,2,0.604654
85,raw,raw,16,2,0.855414
86,raw,raw,17,2,0.425335
87,raw,raw,18,2,0.453731
88,raw,raw,19,2,0.385049
89,raw,raw,20,2,0.417624
90,raw,raw,21,2,0.621579
91,raw,raw,22,2,0.422572
92,raw,raw,23,2,0.434395
93,raw,raw,24,2,0.459456
94,raw,raw,25,2,0.50699
95,raw,raw,26,2,0.634249
96,raw,raw,27,2,0.477385
97,raw,raw,28,2,0.615223
98,raw,raw,29,2,0.700472
99,raw,raw,30,2,0.530762
100,raw,raw,31,2,0.725433
101,raw,raw,32,2,0.495699
102,raw,raw,33,2,0.344267
103,raw,raw,34,2,0.534576
104,raw,raw,35,2,0.342815
105,raw,raw,36,2,0.567667
106,raw,raw,37,2,0.593355
107,raw,raw,38,2,0.350572
108,raw,raw,39,2,0.437307
109,raw,raw,40,2,0.341447
110,raw,raw,41,2,0.472769
111,raw,raw,42,2,0.357999
112,raw,raw,43,2,0.592224
113,raw,raw,44,2,0.620509
114,raw,raw,45,2,0.556302
115,raw,raw,46,2,0.489176
116,raw,raw,47,2,0.630503
117,raw,raw,48,2,0.517946
118,raw,raw,49,2,0.468564
119,raw,raw,50,2,0.554645
120,raw,raw,51,2,0.667363
121,raw,raw,52,2,0.512482
122,raw,raw,53,2,0.440169
123,raw,raw,54,2,0.485626
124,raw,raw,55,2,0.329294
125,raw,raw,56,2,0.49405
126,raw,raw,57,2,0.391651
127,raw,raw,58,2,0.38637
128,raw,raw,59,2,0.486896
129,raw,raw,60,2,0.433413
130,raw,raw,61,2,0.623372
131,raw,raw,62,2,0.399943
132,raw,raw,63,2,0.51238
133,raw,raw,64,2,0.54841
134,raw,raw,65,2,0.515946
135,raw,raw,66,2,0.607226
136,raw,raw,67,2,0.551026
137,raw,raw,68,2,0.284721
